videoid,duration
3ce2e-d1ZEc,209.0
RPW4sx3UYjU,203.0
HG8iPGFvfxU,82.0
c4X58OjlVPo,93.0
ASJef4vkcNk,193.0
22VmzX35pvM,161.0
m-OaVzrf_vc,140.0
oz6wjc6xLFU,162.0
lMmTZ7oTDRI,118.0
Y0F2c4VgxW8,77.0
-BUI1BdZz94,163.0
W2Et5nGF5C4,150.0
KgSTMVwRSiI,82.0
toAOUXtlXXc,163.0
JwAVnG8iemw,226.0
e2dAiCB6igE,144.0
Uoqe4phEwEY,68.0
SuRxmapiDeU,168.0
07GcBnddoMU,208.0
8CZ-ICxcEYg,87.0
SLL5ziDWc6k,145.0
oOp7Q_xw94I,155.0
yGGZUbqbTWg,234.0
QOCLLi8inz4,121.0
JyxSm91eun4,158.0
cjS-Y6WsWMg,163.0
XaI13YBdi_M,158.0
sJGWczuXzT8,160.0
ngeORuhnajc,164.0
JeT0XHFyAU4,146.0
DYFQ9vVqiMA,144.0
vl5LaKMkhYw,166.0
IJvZL-7xeSc,155.0
p7bpv3zs8Dk,180.0
81MNbVi5a64,222.0
TqVLkE4Lr8U,197.0
88YBTmbAaoY,150.0
1UeNQlmxEkQ,145.0
6PpQk63iIWw,160.0
PuvONUFArdI,158.0
lFyh5QCd6kw,112.0
BIg5_09Tcf8,144.0
YwUShaY_lew,208.0
in5f7RMtnoU,157.0
X2XOtUYM5VI,211.0
PMjbPEGDJ7w,220.0
XNUers0BuD4,148.0
MLnzF5NcAc4,159.0
DxguAU_KxS8,150.0
nkelgV49oGQ,153.0
AjZ717HtRy0,209.0
Fy_utfWemC4,162.0
-YV8tJhGojY,137.0
e2FdM0YQSHk,96.0
hsE1N5mfvmA,159.0
8koQ3N3w7aw,137.0
Yj-a2zT-r88,163.0
cQvoA3PYxIM,130.0
5FcTzH6A4a4,176.0
SQH8if7dbqw,138.0
kH6BY-gE0Ss,192.0
qOKE4dxjayU,122.0
alYZ8jQ5L3A,160.0
DkVjSKOdczM,166.0
Je3Vjos0TlQ,242.0
Aqo9z6lp4GY,202.0
CEO9YAsxMfI,112.0
VrVEHszxL7E,177.0
jJ4zpJxcw4o,160.0
nhvRzLcCk40,197.0
YfualY_RvlA,183.0
lyM65FpQLlM,192.0
22bHxTTLcdc,148.0
k2-SBnbz7pE,203.0
LpBQ2Q6GMlM,105.0
VKu1354bPug,156.0
DEmZWy1aDuo,196.0
mI6O2d4Ieok,236.0
